symbol,exchange,date,period,strike,out-of-the-money-pcent,call/put,iv,delta,moneyness,normalizediv,matyears
SPX,CBOE,42399,30,3224.278,0,C,0.160081,0.509154,1,0.0800405,0.082191781
SPX,CBOE,42399,30,3224.278,0,P,0.164184,-0.490612,1,0.082092,0.082191781
SPX,CBOE,42399,30,3385.492,5,C,0.104464,0.053249,1.05,0.104464,0.082191781
SPX,CBOE,42399,30,3063.064,5,P,0.209793,-0.188648,0.95,0.209793,0.082191781
SPX,CBOE,42399,30,3546.706,10,C,0.104149,0.000744,1.1,0.104149,0.082191781
SPX,CBOE,42399,30,2901.85,10,P,0.250905,-0.066718,0.9,0.250905,0.082191781
SPX,CBOE,42399,30,2740.637,15,P,0.299574,-0.026481,0.85,0.299574,0.082191781
SPX,CBOE,42399,30,2579.423,20,P,0.356126,-0.012655,0.8,0.356126,0.082191781
SPX,CBOE,42399,30,2418.209,25,P,0.419686,-0.00712,0.75,0.419686,0.082191781
SPX,CBOE,42399,30,2256.995,30,P,0.48794,-0.004401,0.7,0.48794,0.082191781
SPX,CBOE,42399,30,2095.781,35,P,0.557487,-0.002758,0.65,0.557487,0.082191781
SPX,CBOE,42399,30,1934.567,40,P,0.607376,-0.001261,0.6,0.607376,0.082191781
SPX,CBOE,42399,60,3223.959,0,C,0.157845,0.512762,1,0.0789225,0.164383562
SPX,CBOE,42399,60,3223.959,0,P,0.159786,-0.487081,1,0.079893,0.164383562
SPX,CBOE,42399,60,3385.156,5,C,0.114076,0.15109,1.05,0.114076,0.164383562
SPX,CBOE,42399,60,3062.761,5,P,0.199558,-0.250024,0.95,0.199558,0.164383562
SPX,CBOE,42399,60,3546.355,10,C,0.106957,0.014771,1.1,0.106957,0.164383562
SPX,CBOE,42399,60,2901.563,10,P,0.233071,-0.122575,0.9,0.233071,0.164383562
SPX,CBOE,42399,60,2740.365,15,P,0.267341,-0.060144,0.85,0.267341,0.164383562
SPX,CBOE,42399,60,2579.167,20,P,0.303051,-0.030223,0.8,0.303051,0.164383562
SPX,CBOE,42399,60,2417.969,25,P,0.344532,-0.016614,0.75,0.344532,0.164383562
SPX,CBOE,42399,60,2256.771,30,P,0.389219,-0.009665,0.7,0.389219,0.164383562
SPX,CBOE,42399,60,2095.573,35,P,0.440587,-0.006194,0.65,0.440587,0.164383562
SPX,CBOE,42399,60,1934.375,40,P,0.491955,-0.003898,0.6,0.491955,0.164383562
SPX,CBOE,42399,90,3223.979,0,C,0.15763,0.515561,1,0.078815,0.246575342
SPX,CBOE,42399,90,3223.979,0,P,0.155173,-0.484683,1,0.0775865,0.246575342
SPX,CBOE,42399,90,3385.177,5,C,0.119177,0.213301,1.05,0.119177,0.246575342
SPX,CBOE,42399,90,3062.78,5,P,0.191179,-0.278374,0.95,0.191179,0.246575342
SPX,CBOE,42399,90,3546.376,10,C,0.106248,0.037512,1.1,0.106248,0.246575342
SPX,CBOE,42399,90,2901.581,10,P,0.222019,-0.156076,0.9,0.222019,0.246575342
SPX,CBOE,42399,90,2740.382,15,P,0.249186,-0.084532,0.85,0.249186,0.246575342
SPX,CBOE,42399,90,2579.183,20,P,0.279213,-0.046606,0.8,0.279213,0.246575342
SPX,CBOE,42399,90,2417.984,25,P,0.311771,-0.026459,0.75,0.311771,0.246575342
SPX,CBOE,42399,90,2256.785,30,P,0.348423,-0.015857,0.7,0.348423,0.246575342
SPX,CBOE,42399,90,2095.586,35,P,0.389414,-0.010052,0.65,0.389414,0.246575342
SPX,CBOE,42399,90,1934.387,40,P,0.432014,-0.006415,0.6,0.432014,0.246575342
SPX,CBOE,42399,120,3223.793,0,C,0.15335,0.517534,1,0.076675,0.328767123
SPX,CBOE,42399,120,3223.793,0,P,0.154254,-0.482363,1,0.077127,0.328767123
SPX,CBOE,42399,120,3384.982,5,C,0.120833,0.251566,1.05,0.120833,0.328767123
SPX,CBOE,42399,120,3062.603,5,P,0.185862,-0.296464,0.95,0.185862,0.328767123
SPX,CBOE,42399,120,3546.172,10,C,0.10606,0.062163,1.1,0.10606,0.328767123
SPX,CBOE,42399,120,2901.414,10,P,0.214172,-0.178952,0.9,0.214172,0.328767123
SPX,CBOE,42399,120,2740.224,15,P,0.239067,-0.104895,0.85,0.239067,0.328767123
SPX,CBOE,42399,120,2579.034,20,P,0.264771,-0.061083,0.8,0.264771,0.328767123
SPX,CBOE,42399,120,2417.845,25,P,0.290962,-0.035319,0.75,0.290962,0.328767123
SPX,CBOE,42399,120,2256.655,30,P,0.320267,-0.02097,0.7,0.320267,0.328767123
SPX,CBOE,42399,120,2095.465,35,P,0.35264,-0.012821,0.65,0.35264,0.328767123
SPX,CBOE,42399,120,1934.276,40,P,0.388158,-0.008054,0.6,0.388158,0.328767123
SPX,CBOE,42399,150,3224.372,0,C,0.152506,0.519494,1,0.076253,0.410958904
SPX,CBOE,42399,150,3224.372,0,P,0.153972,-0.480319,1,0.076986,0.410958904
SPX,CBOE,42399,150,3385.59,5,C,0.123083,0.28133,1.05,0.123083,0.410958904
SPX,CBOE,42399,150,3063.153,5,P,0.183202,-0.310134,0.95,0.183202,0.410958904
SPX,CBOE,42399,150,3546.809,10,C,0.1074,0.088526,1.1,0.1074,0.410958904
SPX,CBOE,42399,150,2901.934,10,P,0.208642,-0.196384,0.9,0.208642,0.410958904
SPX,CBOE,42399,150,2740.716,15,P,0.232449,-0.121982,0.85,0.232449,0.410958904
SPX,CBOE,42399,150,2579.497,20,P,0.255456,-0.074302,0.8,0.255456,0.410958904
SPX,CBOE,42399,150,2418.279,25,P,0.278416,-0.044465,0.75,0.278416,0.410958904
SPX,CBOE,42399,150,2257.06,30,P,0.30312,-0.026638,0.7,0.30312,0.410958904
SPX,CBOE,42399,150,2095.842,35,P,0.330191,-0.016138,0.65,0.330191,0.410958904
SPX,CBOE,42399,150,1934.623,40,P,0.359226,-0.009814,0.6,0.359226,0.410958904
