symbol,exchange,date,period,strike,out-of-the-money-pcent,call/put,iv,delta,moneyness,normalizediv,matyears
SPX,CBOE,1/30/16,30,3224.278,0,C,0.160081,0.509154,1,0.0800405,0.082191781
SPX,CBOE,1/30/16,30,3224.278,0,P,0.164184,-0.490612,1,0.082092,0.082191781
SPX,CBOE,1/30/16,30,3385.492,5,C,0.104464,0.053249,1.05,0.104464,0.082191781
SPX,CBOE,1/30/16,30,3063.064,5,P,0.209793,-0.188648,0.95,0.209793,0.082191781
SPX,CBOE,1/30/16,30,3546.706,10,C,0.104149,0.000744,1.1,0.104149,0.082191781
SPX,CBOE,1/30/16,30,2901.85,10,P,0.250905,-0.066718,0.9,0.250905,0.082191781
SPX,CBOE,1/30/16,30,3707.92,15,C,0.104149,0.000002,1.15,0.104149,0.082191781
SPX,CBOE,1/30/16,30,2740.637,15,P,0.299574,-0.026481,0.85,0.299574,0.082191781
SPX,CBOE,1/30/16,30,3869.134,20,C,0.104149,0,1.2,0.104149,0.082191781
SPX,CBOE,1/30/16,30,2579.423,20,P,0.356126,-0.012655,0.8,0.356126,0.082191781
SPX,CBOE,1/30/16,30,4030.348,25,C,0.104149,0,1.25,0.104149,0.082191781
SPX,CBOE,1/30/16,30,2418.209,25,P,0.419686,-0.00712,0.75,0.419686,0.082191781
SPX,CBOE,1/30/16,30,4191.562,30,C,0.104149,0,1.3,0.104149,0.082191781
SPX,CBOE,1/30/16,30,2256.995,30,P,0.48794,-0.004401,0.7,0.48794,0.082191781
SPX,CBOE,1/30/16,30,4352.776,35,C,0.104149,0,1.35,0.104149,0.082191781
SPX,CBOE,1/30/16,30,2095.781,35,P,0.557487,-0.002758,0.65,0.557487,0.082191781
SPX,CBOE,1/30/16,30,4513.99,40,C,0.104149,0,1.4,0.104149,0.082191781
SPX,CBOE,1/30/16,30,1934.567,40,P,0.607376,-0.001261,0.6,0.607376,0.082191781
SPX,CBOE,1/30/16,30,4675.204,45,C,0.104149,0,1.45,0.104149,0.082191781
SPX,CBOE,1/30/16,30,1773.353,45,P,0.612036,-0.000237,0.55,0.612036,0.082191781
SPX,CBOE,1/30/16,30,4836.417,50,C,0.104149,0,1.5,0.104149,0.082191781
SPX,CBOE,1/30/16,30,1612.139,50,P,0.612036,-0.000027,0.5,0.612036,0.082191781
SPX,CBOE,1/30/16,30,4997.631,55,C,0.104149,0,1.55,0.104149,0.082191781
SPX,CBOE,1/30/16,30,1450.925,55,P,0.612036,-0.000002,0.45,0.612036,0.082191781
SPX,CBOE,1/30/16,30,5158.845,60,C,0.104149,0,1.6,0.104149,0.082191781
SPX,CBOE,1/30/16,30,1289.711,60,P,0.612036,0,0.4,0.612036,0.082191781
SPX,CBOE,1/30/16,60,3223.959,0,C,0.157845,0.512762,1,0.0789225,0.164383562
SPX,CBOE,1/30/16,60,3223.959,0,P,0.159786,-0.487081,1,0.079893,0.164383562
SPX,CBOE,1/30/16,60,3385.156,5,C,0.114076,0.15109,1.05,0.114076,0.164383562
SPX,CBOE,1/30/16,60,3062.761,5,P,0.199558,-0.250024,0.95,0.199558,0.164383562
SPX,CBOE,1/30/16,60,3546.355,10,C,0.106957,0.014771,1.1,0.106957,0.164383562
