symbol,exchange,date,period,strike,out-of-the-money-pcent,call/put,iv,delta,moneyness,normalizediv,matyears
SPX,CBOE,42399,30,3224.278,0,C,0.160081,0.509154,1,0.0800405,0.082191781
SPX,CBOE,42399,30,3224.278,0,P,0.164184,-0.490612,1,0.082092,0.082191781
SPX,CBOE,42399,30,3385.492,5,C,0.104464,0.053249,1.05,0.104464,0.082191781
SPX,CBOE,42399,30,3063.064,5,P,0.209793,-0.188648,0.95,0.209793,0.082191781
SPX,CBOE,42399,30,3546.706,10,C,0.104149,0.000744,1.1,0.104149,0.082191781
SPX,CBOE,42399,30,2901.85,10,P,0.250905,-0.066718,0.9,0.250905,0.082191781
SPX,CBOE,42399,30,3707.92,15,C,0.104149,0.000002,1.15,0.104149,0.082191781
SPX,CBOE,42399,30,2740.637,15,P,0.299574,-0.026481,0.85,0.299574,0.082191781
SPX,CBOE,42399,30,3869.134,20,C,0.104149,0,1.2,0.104149,0.082191781
SPX,CBOE,42399,30,2579.423,20,P,0.356126,-0.012655,0.8,0.356126,0.082191781
SPX,CBOE,42399,60,3223.959,0,C,0.157845,0.512762,1,0.0789225,0.164383562
SPX,CBOE,42399,60,3223.959,0,P,0.159786,-0.487081,1,0.079893,0.164383562
SPX,CBOE,42399,60,3385.156,5,C,0.114076,0.15109,1.05,0.114076,0.164383562
SPX,CBOE,42399,60,3062.761,5,P,0.199558,-0.250024,0.95,0.199558,0.164383562
SPX,CBOE,42399,60,3546.355,10,C,0.106957,0.014771,1.1,0.106957,0.164383562
SPX,CBOE,42399,60,2901.563,10,P,0.233071,-0.122575,0.9,0.233071,0.164383562
SPX,CBOE,42399,60,3707.552,15,C,0.108624,0.000812,1.15,0.108624,0.164383562
SPX,CBOE,42399,60,2740.365,15,P,0.267341,-0.060144,0.85,0.267341,0.164383562
SPX,CBOE,42399,60,3868.751,20,C,0.108624,0.000019,1.2,0.108624,0.164383562
SPX,CBOE,42399,60,2579.167,20,P,0.303051,-0.030223,0.8,0.303051,0.164383562
SPX,CBOE,42399,90,3223.979,0,C,0.15763,0.515561,1,0.078815,0.246575342
SPX,CBOE,42399,90,3223.979,0,P,0.155173,-0.484683,1,0.0775865,0.246575342
SPX,CBOE,42399,90,3385.177,5,C,0.119177,0.213301,1.05,0.119177,0.246575342
SPX,CBOE,42399,90,3062.78,5,P,0.191179,-0.278374,0.95,0.191179,0.246575342
SPX,CBOE,42399,90,3546.376,10,C,0.106248,0.037512,1.1,0.106248,0.246575342
SPX,CBOE,42399,90,2901.581,10,P,0.222019,-0.156076,0.9,0.222019,0.246575342
SPX,CBOE,42399,90,3707.575,15,C,0.1097,0.005564,1.15,0.1097,0.246575342
SPX,CBOE,42399,90,2740.382,15,P,0.249186,-0.084532,0.85,0.249186,0.246575342
SPX,CBOE,42399,90,3868.774,20,C,0.1097,0.00045,1.2,0.1097,0.246575342
SPX,CBOE,42399,90,2579.183,20,P,0.279213,-0.046606,0.8,0.279213,0.246575342
SPX,CBOE,42399,120,3223.793,0,C,0.15335,0.517534,1,0.076675,0.328767123
SPX,CBOE,42399,120,3223.793,0,P,0.154254,-0.482363,1,0.077127,0.328767123
SPX,CBOE,42399,120,3384.982,5,C,0.120833,0.251566,1.05,0.120833,0.328767123
SPX,CBOE,42399,120,3062.603,5,P,0.185862,-0.296464,0.95,0.185862,0.328767123
SPX,CBOE,42399,120,3546.172,10,C,0.10606,0.062163,1.1,0.10606,0.328767123
SPX,CBOE,42399,120,2901.414,10,P,0.214172,-0.178952,0.9,0.214172,0.328767123
SPX,CBOE,42399,120,3707.362,15,C,0.108148,0.013113,1.15,0.108148,0.328767123
SPX,CBOE,42399,120,2740.224,15,P,0.239067,-0.104895,0.85,0.239067,0.328767123
SPX,CBOE,42399,120,3868.552,20,C,0.108206,0.001821,1.2,0.108206,0.328767123
SPX,CBOE,42399,120,2579.034,20,P,0.264771,-0.061083,0.8,0.264771,0.328767123
SPX,CBOE,42398,30,3290.066,0,C,0.13215,0.507557,1,0.066075,0.082191781
SPX,CBOE,42398,30,3290.066,0,P,0.130991,-0.49251,1,0.0654955,0.082191781
SPX,CBOE,42398,30,3454.57,5,C,0.09002,0.030217,1.05,0.09002,0.082191781
SPX,CBOE,42398,30,3125.563,5,P,0.183618,-0.158484,0.95,0.183618,0.082191781
SPX,CBOE,42398,30,3619.073,10,C,0.093727,0.000205,1.1,0.093727,0.082191781
SPX,CBOE,42398,30,2961.06,10,P,0.224491,-0.047535,0.9,0.224491,0.082191781
SPX,CBOE,42398,30,3783.576,15,C,0.093727,0,1.15,0.093727,0.082191781
SPX,CBOE,42398,30,2796.557,15,P,0.270872,-0.016519,0.85,0.270872,0.082191781
SPX,CBOE,42398,30,3948.08,20,C,0.093727,0,1.2,0.093727,0.082191781
SPX,CBOE,42398,30,2632.053,20,P,0.323877,-0.00715,0.8,0.323877,0.082191781
SPX,CBOE,42398,60,3290.351,0,C,0.13515,0.510929,1,0.067575,0.164383562
SPX,CBOE,42398,60,3290.351,0,P,0.134524,-0.489122,1,0.067262,0.164383562
SPX,CBOE,42398,60,3454.869,5,C,0.097096,0.111291,1.05,0.097096,0.164383562
SPX,CBOE,42398,60,3125.834,5,P,0.176627,-0.226003,0.95,0.176627,0.164383562
SPX,CBOE,42398,60,3619.386,10,C,0.099561,0.009617,1.1,0.099561,0.164383562
SPX,CBOE,42398,60,2961.316,10,P,0.21192,-0.102184,0.9,0.21192,0.164383562
SPX,CBOE,42398,60,3783.904,15,C,0.099839,0.000299,1.15,0.099839,0.164383562
SPX,CBOE,42398,60,2796.799,15,P,0.245099,-0.045982,0.85,0.245099,0.164383562
SPX,CBOE,42398,60,3948.422,20,C,0.099839,0.000004,1.2,0.099839,0.164383562
SPX,CBOE,42398,60,2632.281,20,P,0.281703,-0.022172,0.8,0.281703,0.164383562
